dl_id	dl_stem1	dl_stem2	dl_stem3	dl_stem4	dl_pos	dl_grammar_code	dl_type	dl_variant	dl_gender	dl_comparison	dl_kind	dl_aux_case	dl_age	dl_area	dl_geography	dl_frequency	dl_source	dl_senses
0	A				N	9 8 M N	9	8	M		N		X	X	X	C	G	Aulus (Roman praenomen); (abb. A./Au.); [Absolvo, Antiquo => free, reject];
1	a				N	9 8 M T	9	8	M		T		X	X	X	D	G	year; abb. ann./a.; [regnavit a(nnis). XLIIII => he reigned for 44 years];
2	a				PREP	ABL						ABL	X	X	X	A	O	by (agent), from (departure, cause, remote origin/time); after (reference);
3	a				PREP	ACC						ACC	X	X	X	C	O	ante, abb. a.; [in calendar expression a. d. = ante diem => before the day];
4	a				INTERJ								X	X	X	B	O	Ah!; (distress/regret/pity, appeal/entreaty, surprise/joy, objection/contempt);
5	ab				PREP	ABL						ABL	X	X	X	A	O	by (agent), from (departure, cause, remote origin/time); after (reference);
6	abac	abac			N	2 1 M T	2	1	M		T		E	E	X	C	E	small table for cruets, credence, shelf/niche near altar for Eucharist; buffet; counting-board; side-board; slab table; panel; square stone on top of column;
7	abact	abact			N	4 1 M T	4	1	M		T		X	A	X	E	O	cattle thieving, stealing of cattle, rustling;
8	abact	abact			ADJ	1 1 POS	1	1		POS			X	X	X	E	S	driven away/off/back; forced to resign (office); restrained by; passed (night);
9	abacti	abacti			ADJ	1 1 POS	1	1		POS			X	A	X	E	O	stolen/rustled (of cattle);
10	abactor	abactor			N	3 1 M P	3	1	M		P		X	A	X	E	O	cattle thief, rustler; one who drives off;
11	abacul	abacul			N	2 1 M T	2	1	M		T		E	T	X	F	S	tessera/small cube of colored glass for ornamental pavements/wall mosaics;
12	abaestu	abaestu	abaestuav	abaestuat	V	1 1 INTRANS	1	1			INTRANS		D	X	X	F	S	wave down; hang down richly (poet.);
13	abagment	abagment			N	2 2 N T	2	2	N		T		D	B	X	F	S	means for obtaining abortion?;
14	abalien	abalien	abalienav	abalienat	V	1 1 TRANS	1	1			TRANS		X	X	X	B	S	make alien; separate, abstract; alienate, estrange, make disaffected; transfer (sale/contract); remove, take away, dispose of; numb/deaden;
15	abalienat	abalienat			ADJ	1 1 POS	1	1		POS			X	X	X	D	O	unfriendly, estranged; dead/mortified (medical, of tissues);
16	abalienatio	abalienation			N	3 1 F T	3	1	F		T		X	L	X	D	O	transfer of property (legal), sale; cession; alienation;
17	abambul	abambul	abambulav	abambulat	V	1 1 INTRANS	1	1			INTRANS		X	X	X	F	O	go away;
18	abamit	abamit			N	1 1 F P	1	1	F		P		X	X	X	E	O	great-great-great aunt; (sister of abavus/gt-gt-grandfather); female ancestor;
19	abante				ADV	POS				POS			X	X	X	I	O	in front (of); before;
20	abante				PREP	ABL						ABL	X	X	X	E	S	from before/in front of;
21	abarc	abarc	-	-	V	2 1 TRANS	2	1			TRANS		X	X	X	E	O	keep away;
22	abascant	abascant			ADJ	1 1 POS	1	1		POS			X	X	X	F	S	unenvied?;
23	abav	abav			N	2 1 M P	2	1	M		P		X	X	X	C	O	ancestor, forefather; great-great grandfather, grandfather's grandfather;
24	abavi	abavi			N	1 1 F P	1	1	F		P		X	X	X	E	O	ancestress; great-great grandmother;
25	abavuncul	abavuncul			N	2 1 M P	2	1	M		P		X	X	X	E	O	great-great-great-great uncle; remote ancestor;
26	abax	abac			N	3 1 M T	3	1	M		T		D	X	X	F	S	counting-board; side-board; slab table; panel; square stone on top of column;
27	Abba				N	9 9 M N	9	9	M		N		E	E	Q	E	E	Father; (Aramaic); bishop of Syriac/Coptic church; (false read obba/decanter);
28	abbas	abbat			N	3 1 M P	3	1	M		P		E	E	X	C	E	abbot; head of an ecclesiastical community; father; any respected monk (early);
29	abbati	abbati			N	1 1 F T	1	1	F		T		E	E	X	C	E	abbey, monastery;
30	abbatial	abbatial			ADJ	3 2 POS	3	2		POS			E	E	X	C	E	of/pertaining to an abbot/abbey; abbey derived;
31	abbatiss	abbatiss			N	1 1 F P	1	1	F		P		E	E	X	C	E	abbess;
32	abbatiz	abbatiz	-	-	V	1 1 INTRANS	1	1			INTRANS		F	E	X	F	M	be abbot;
33	abbib	abbib	abbib	-	V	3 1 X	3	1			X		X	X	X	D	O	drink (in addition), take in by drinking; drink in, absorb, listen eagerly to;
34	abbit	abbit	-	-	V	3 1 INTRANS	3	1			INTRANS		X	X	X	F	O	approach, come/draw near;
35	abbrevi	abbrevi	abbreviav	abbreviat	V	1 1 TRANS	1	1			TRANS		E	X	X	C	E	shorten, cut off; abbreviate, abstract; epitomize (Souter); break off; weaken;
36	abbreviat	abbreviat			ADJ	1 1 POS	1	1		POS			E	X	X	C	W	abridged, shortened, cut off; straitened, contracted, narrowed; abbreviated;
37	abbreviatio	abbreviation			N	3 1 F T	3	1	F		T		E	X	X	F	S	abbreviation; diminution; epitome (Souter); shortening;
38	abbreviator	abbreviator			N	3 1 M P	3	1	M		P		E	E	X	E	E	summarizer; one who makes abstracts/epitomes from papal bulls;
39	abbrocament	abbrocament			N	2 2 N T	2	2	N		T		F	X	X	E	Q	abbrochment, forestalling market/fair (buying before fair then retailing OED);
40	abd	abd	abdid	abdit	V	3 1 TRANS	3	1			TRANS		X	X	X	A	O	remove, put away, set aside; depart, go away; hide, keep secret, conceal;
41	abdic	abdic	abdicav	abdicat	V	1 1 TRANS	1	1			TRANS		X	L	X	B	O	resign, abdicate; abolish; disinherit; renounce, reject, expel, disapprove of;
42	abdic	abdic	abdix	abdict	V	3 1 TRANS	3	1			TRANS		X	L	X	E	O	be against, reject; withhold (someone's right); forbid by unfavorable omen;
43	abdicat	abdicat			N	2 1 M P	2	1	M		P		X	X	X	F	O	disowned/disinherited son;
44	abdicatio	abdication			N	3 1 F T	3	1	F		T		X	L	X	D	O	renunciation; disowning/disinheriting (son); resignation/abdication (office);
45	abdicativ	abdicativ			ADJ	1 1 POS	1	1		POS			D	X	X	E	S	negative;
46	abdicative				ADV	POS				POS			D	X	X	E	S	negatively;
47	abdicatrix	abdicatric			N	3 1 F P	3	1	F		P		D	X	X	F	S	renouncer (female); she who renounces/disclaims something;
48	abdit	abdit			N	2 2 N W	2	2	N		W		X	X	X	C	E	hidden/secret/out of the way place, lair, (in) secret;
49	abdit	abdit			ADJ	1 1 POS	1	1		POS			X	X	X	B	O	hidden, secret, out of the way, remote, secluded; obscure/abstruse (meaning);
50	abdite				ADV	POS				POS			X	X	X	F	S	secretly;
51	abditiv	abditiv			ADJ	1 1 POS	1	1		POS			X	X	X	F	C	removed, separated (from);
52	abdomen	abdomin			N	3 2 N T	3	2	N		T		X	B	X	C	O	abdomen, paunch, lower part of the belly; gluttony; as indicative of obesity;
53	abdominal	abdominal			ADJ	3 2 POS	3	2		POS			G	B	X	E	K	abdominal;
54	abduc	abduc	abdux	abduct	V	3 1 TRANS	3	1			TRANS		X	X	X	A	O	lead away, carry off; detach, attract away, entice, seduce, charm; withdraw;
55	abductio	abduction			N	3 1 F T	3	1	F		T		D	X	X	E	S	abduction, forcible carrying off; robbing; retirement (Vulg. Eccli.);
56	abe	abi	abiv	abit	V	6 1 INTRANS	6	1			INTRANS		X	X	X	A	O	depart, go away; go off, go forth; pass away, die, disappear; be changed;
57	abecedari	abecedari			N	1 1 F T	1	1	F		T		D	X	X	F	S	elementary introduction; the ABC of the matter;
58	abecedari	abecedari			N	2 1 M P	2	1	M		P		D	X	X	F	S	one who learns the ABC's;
