unq_form_uvij	unq_form_vi	unq_pos	unq_type	unq_variant	unq_case	unq_number	unq_gender	unq_pronoun_kind	unq_comparison	unq_tense	unq_voice	unq_mood	unq_person	unq_dictcode	unq_senses
agantur	agantvr	V	3	1		P				PRES	PASSIVE	SUB	3	FXXEE	let them be treated; let it be a matter or question of;
agatur	agatvr	V	3	1		S				PRES	PASSIVE	SUB	3	IFXXEE	let it be treated; let it be a matter or question of;
necessest	necessest	V	5	1		S				PRES	ACTIVE	IND	3	IXXXCX	it is necessary/essential/unavoidable/true; it is inevitable/by natural law;
aforem	aforem	V	5	1		S				IMPF	ACTIVE	SUB	1	TXXXCX	be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
afores	afores	V	5	1		S				IMPF	ACTIVE	SUB	2	TXXXCX	be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
aforet	aforet	V	5	1		S				IMPF	ACTIVE	SUB	3	TXXXCX	be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
aforemus	aforemvs	V	5	1		P				IMPF	ACTIVE	SUB	1	TXXXCX	be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
aforetis	aforetis	V	5	1		P				IMPF	ACTIVE	SUB	2	TXXXCX	be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
aforent	aforent	V	5	1		P				IMPF	ACTIVE	SUB	3	TXXXCX	be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
afore	afore	V	5	1		X				FUT	ACTIVE	INF	0	TOXXXCX	be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
viden	viden	V	2	1		S				PRES	ACTIVE	IND	2	TRXXXCS	do you not see; or consider; (vides-ne);
memento	memento	V	0	0		S				PRES	ACTIVE	IMP	2	TRXXXCO	remember; be mindful of;
mementote	mementote	V	0	0		P				PRES	ACTIVE	IMP	2	TRXXXCO	remember; be mindful of;
cette	cette	V	3	1		P				PRES	ACTIVE	IMP	2	TRXXXBO	give/bring here!/hand over, come (now/here); tell/show us, out with it! behold!
cedo	cedo	V	3	1		S				PRES	ACTIVE	IMP	2	TRXXXBO	give/bring here!/hand over, come (now/here); tell/show us, out with it! behold!
adesdum	adesdvm	V	5	1		S				PRES	ACTIVE	IMP	2	TOXXXCX	come hither; (ades dum);
mavis	mavis	V	6	2		S				PRES	ACTIVE	IND	2	XXXBX	prefer;
mavult	mavvlt	V	6	2		S				PRES	ACTIVE	IND	3	XXXBX	prefer;
mavultis	mavvltis	V	6	2		P				PRES	ACTIVE	IND	2	XXXBX	prefer;
vis	vis	V	6	2		S				PRES	ACTIVE	IND	2	XXXAX	be willing; wish;
vult	vvlt	V	6	2		S				PRES	ACTIVE	IND	3	XXXAX	be willing; wish;
vultis	vvltis	V	6	2		P				PRES	ACTIVE	IND	2	XXXAX	be willing; wish;
chely	chely	N	9	9	VOC	S	F							XXXCS	lyre, harp; tortoise shell (from which lyres were made); tortoise;
chelyn	chelyn	N	9	9	ACC	S	F							XXXCO	lyre, harp; tortoise shell (from which lyres were made); tortoise;
iusiurandum	ivsivrandvm	N	2	1	NOM	S	N							XXXCX	an oath (ius iurandum);
iurisiurandi	ivrisivrandi	N	2	1	GEN	S	N							XXXCX	an oath (ius iurandum);
iusiurandum	ivsivrandvm	N	2	1	ACC	S	N							XXXCX	an oath (ius iurandum);
iureiurando	ivreivrando	N	2	1	ABL	S	N							XXXCX	an oath (ius iurandum);
